GENESIS-Tabelle: 12612-003z
Lebendgeborene: Gemeinde, Geschlecht, Jahre;;;
Statistik der Geburten;;;
Bayern;;;
;Lebendgeborene;Lebendgeborene;Lebendgeborene
;Insgesamt;männlich;weiblich
;Anzahl;Anzahl;Anzahl
2013;109562;55913;53649
2014;113935;58695;55240
2015;118228;60511;57717
2016;125689;64503;61186
2017;126191;64294;61897
2018;127616;65272;62344
2019;128227;65760;62467
2020;128764;65932;62832
2021;134321;68881;65440
2022;124897;64000;60897
2023;116505;59917;56588
__________
© Bayerisches Landesamt für Statistik, Fürth 2024
Stand: 13.12.2024 / 14:30:58
