GENESIS-Tabelle: 33111-001z
Fläche: Gemeinde, Fläche (ALKIS), Art der tatsächlichen;;;;;;;;;;;
Nutzung (nach ALKIS-Nutzungsarten), Jahre;;;;;;;;;;;
(ab 2014);;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;
Bayern;;;;;;;;;;;
;;Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten);Bodenfläche (nach ALKIS-Nutzungsarten)
;;31.12.2014;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020;31.12.2021;31.12.2022;31.12.2023
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
;Siedlungs- und Verkehrsfläche;833276,80;837936,89;841477,48;845743,62;849388,98;853336,75;857580,88;861338,01;865775,85;870296,71
;Abbauland;15494,41;15546,87;15532,07;15616,67;15562,40;15441,86;15451,70;15552,49;15619,51;15319,06
30000;Vegetation;6084688,93;6079882,91;6076200,62;6071579,57;6067575,63;6063748,96;6059322,86;6055305,49;6050489,51;6046008,20
40000;Gewässer;120739,83;120834,46;120992,48;121263,09;121630,41;121629,88;121802,01;121961,55;122272,76;122552,76
;Insgesamt;7054199,97;7054201,14;7054202,65;7054202,94;7054157,41;7054157,44;7054157,44;7054157,53;7054157,63;7054176,73
__________
© Bayerisches Landesamt für Statistik, Fürth 2024
Stand: 13.12.2024 / 15:16:20
